team_id,The Tunique eam-Id of the given match's tracked player
match_id,The unique Match-Id of the given match
summoner_id,The unique Player-ID of the player whose stats are tracked in a given row
match_timestamp,The timestamp in Epoch milliseconds of the given match
queue,The type of match being played (either Team or Solo 5v5)
kills,The number of enemy champions killed by the player in a game
deaths,The number of time a player died in a game
assists,The number of times a player contributed to killing an enemy champion but did not land the killing blow within a game
double_kills,The number of times a player killed a second enemy champion within 30 seconds of the first kill
triple_kills,The number of times a player killed a third enemy champion within 30 seconds of the first kill
quadra_kills,The number of times a player killed a fourth enemy champion within 30 seconds of the first kill
penta_kills,The number of times a player killed a fifth enemy champion within 30 seconds of the first kill
sight_wards_bought_in_game,The number of vision-granting consumable items a player bought in a game
vision_wards_bought_in_game,The number of vision and enemy ward sighting consumable items a player bought within a game
wards_placed,The total number of vision-granting wards a player used within a game
wards_killed,The total number of enemy vision-granting wards a player destroyed within a game
total_damage_taken,The total damage a player took from all sources within a game
true_damage_taken,The total true (non-reducable) damage a player took from all sources within a game
magic_damage_taken,The total magic (MagicResist-reducable) damage a player took from all sources within a game
physical_damage_taken,The total physical (Armor-reducable) damage a player took from all sources within a game
total_damage_dealt,The total damage a player dealt to all sources within a game
true_damage_dealt,The total true (non-reducable) damage a player dealt to all sources within a game
magic_damage_dealt,The total magic (MagicResist-reducable) damage a player dealt to all sources within a game
physical_damage_dealt,The total physical (Armor-reducable) damage a player took dealt to all sources within a game
total_time_crowd_control_dealt,The total crowd-control (restriction on movement and action-taking) a player dealt to all sources
total_damage_dealt_to_champions,The total damage a player dealt to all enemy champions within a game
true_damage_dealt_to_champions,The total true (non-reducable) damage a player dealt to all enemy champions within a game
magic_damage_dealt_to_champions,The total magic (MagicResist-reducable) damage a player dealt to all enemy champions within a game
physical_damage_dealt_to_champions,The total physical (Armor-reducable) damage a player took dealt to all enemy champions within a game
gold_earned,The total gold earned by a player in a game
gold_spent,The total gold spent by a player in a game
minions_killed,The total number of minions a player killed within a game
tower_kills,The total number of towers a player destroyed within a game
inhibitor_kills,The total number of inhibitors a player destroyed within a game
first_blood_kill,"1 if the player performed the first champion kill of the match, 0 if not"
first_blood_assist,"1 if the player participated in the first champion kill of the match, 0 if not"
first_tower_kill,"1 if the player performed the first tower kill of the match, 0 if not"
first_tower_assist,"1 if the player participated in the first tower kill of the match, 0 if not"
first_inhibitor_kill,"1 if the player performed the first inhibitor kill of the match, 0 if not"
first_inhibitor_assist,"1 if the player participated in the first inhibitor kill of the match, 0 if not"
champion_id,The id representing the specific champion the player used in a game
lane,The lane the player primarily acted within during the given game
role,The role the player primarily acted in during a give ngame
winner,"1 if the player's team won the game, 0 if not"
team_first_blood,"1 if the player's team performed the first champion kill of the match, 0 if not"
team_first_tower,"1 if the player's team performed the first tower kill of the match, 0 if not"
team_first_inhibitor,"1 if the player's team performed the first inhibitor kill of the match, 0 if not"
team_first_dragon,"1 if the player's team participated in the first dragon kill of the match, 0 if not"
team_first_baron,"1 if the player's team performed the first baron kill of the match, 0 if not"
team_tower_kills,The number of towers the player's team destroyed
team_inhibitor_kills,The number of inhibitors the player's team destroyed
team_dragon_kills,The number of dragons the player's team killed
team_baron_kills,The number of barons the player's team killed
tm0,The id of one of the five team members of the player's team within a given match
tm1,The id of one of the five team members of the player's team within a given match
tm2,The id of one of the five team members of the player's team within a given match
tm3,The id of one of the five team members of the player's team within a given match
tm4,The id of one of the five team members of the player's team within a given match
rm0,"The id of one of the 5-10 roster members within the player's pre-constructed team, 0 if none"
rm1,"The id of one of the 5-10 roster members within the player's pre-constructed team, 0 if none"
rm2,"The id of one of the 5-10 roster members within the player's pre-constructed team, 0 if none"
rm3,"The id of one of the 5-10 roster members within the player's pre-constructed team, 0 if none"
rm4,"The id of one of the 5-10 roster members within the player's pre-constructed team, 0 if none"
rm5,"The id of one of the 5-10 roster members within the player's pre-constructed team, 0 if none"
rm6,"The id of one of the 5-10 roster members within the player's pre-constructed team, 0 if none"
rm7,"The id of one of the 5-10 roster members within the player's pre-constructed team, 0 if none"
rm8,"The id of one of the 5-10 roster members within the player's pre-constructed team, 0 if none"
rm9,"The id of one of the 5-10 roster members within the player's pre-constructed team, 0 if none"
failingtm,A number from 0-4 representing which of the tm0-tm4 fields is the tracked player in a given match
passingtm,A 4-digit number from 0-4 representing which of the tm0-tm4 fields are not tracked player in a given match
tm00,The id-numbers of one of the tm0-tm4 passingtm players
tm01,The id-numbers of one of the tm0-tm4 passingtm players
