,id,team_id,match_id,summoner_id,match_timestamp,queue,kills,deaths,assists,double_kills,triple_kills,quadra_kills,penta_kills,sight_wards_bought_in_game,vision_wards_bought_in_game,wards_placed,wards_killed,total_damage_taken,true_damage_taken,magic_damage_taken,physical_damage_taken,total_damage_dealt,true_damage_dealt,magic_damage_dealt,physical_damage_dealt,total_time_crowd_control_dealt,total_damage_dealt_to_champions,true_damage_dealt_to_champions,magic_damage_dealt_to_champions,physical_damage_dealt_to_champions,gold_earned,gold_spent,minions_killed,tower_kills,inhibitor_kills,first_blood_kill,first_blood_assist,first_tower_kill,first_tower_assist,first_inhibitor_kill,first_inhibitor_assist,champion_id,lane,role,winner,team_first_blood,team_first_tower,team_first_inhibitor,team_first_dragon,team_first_baron,team_tower_kills,team_inhibitor_kills,team_dragon_kills,team_baron_kills,tm0,tm1,tm2,tm3,tm4,rm0,rm1,rm2,rm3,rm4,rm5,rm6,rm7,rm8,rm9,failingtm,passingtm,tm00,tm01,tm02,tm03,longavg,bool,sum_games_by_id,is_first_game,milliseconds_in_game,days_in_game,workdays_in_game_8hrs,first_game_timestamp,first_game_timestamp_by_id,milliseconds_since_first_game,days_since_first_game,workdays_since_first_game_8hrs,pct_days_in_game,tm00count,tm01count,tm02count,tm03count,tm00famcount,tm01famcount,tm02famcount,tm03famcount,alltmfamcount,f0,f1,f2,f3,f4,f5,f6,f7,f8,f9,f00,f01,f02,f000,f001,top,jungle,mid,bot_carry,bot_support,sum_games_for_lag,min_lag_range_three_month,games_to_remove_three_month,three_month_sumgames,f_to_remove_three_month,three_month_fcount,kda,min_lag_range_one_month,games_to_remove_one_month,one_month_sumgames,f_to_remove_one_month,one_month_fcount
2316,34e550d1bb3c04b96f74ed16812906cc,TEAM-0012f320-5a7a-11e5-bc58-c81f66dcfb5a,1391609077,31995521,1400821405235,RANKED_SOLO_5x5,2,3,22,0,0,0,0,1,3,28,2,14072,0,3384,10688,39710,0,27623,12086,139,14365,0,12260,2105,11646,8725,30,0,0,0,0,0,0,0,1,25,BOTTOM,DUO_SUPPORT,1,1,0,1,1,0,8,2,2,0,31995521,31307983,36371276,19690833,30436213,40532886,31307983,48565039,25279066,31995521,26243614,50879700,30601794,21269208,0,0,4321,31307983,36371276,19690833,30436213,1,1,1,1,2040000,0.0236111111,0.0708333333,1400821405235,1400821405235,0,0,0,1,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,1,1,-7889229000,,,,,8,-2629743000,,,,
3650,5329033626173df2104372463b2d4159,TEAM-0012f320-5a7a-11e5-bc58-c81f66dcfb5a,1392877072,31995521,1400908438327,RANKED_SOLO_5x5,0,1,15,0,0,0,0,2,2,16,1,9914,64,4400,5449,25810,0,16963,8847,89,6946,0,5378,1567,7603,5970,17,0,0,0,0,0,0,0,0,25,BOTTOM,DUO_SUPPORT,1,1,0,0,1,0,4,0,1,0,29252692,31307983,35804021,31945527,31995521,40532886,31307983,48565039,25279066,31995521,26243614,50879700,30601794,21269208,0,4,3210,29252692,31307983,35804021,31945527,1,1,2,0,4080000,0.0472222222,0.1416666667,0,1400821405235,87033092,1.0073274537,3.0219823611,0.0468787206,0,1,0,0,1,1,0,0,2,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,1,2,-7802195908,,,,,15,-2542709908,,,,
1516,226d285002271ad932e4a1127c9ea15d,TEAM-0012f320-5a7a-11e5-bc58-c81f66dcfb5a,1392909627,31995521,1400910569949,RANKED_SOLO_5x5,2,4,23,0,0,0,0,2,2,19,4,11146,910,5229,5006,25095,0,15025,10070,105,11553,0,8788,2765,10514,8120,16,0,1,0,0,0,0,1,0,25,BOTTOM,DUO_SUPPORT,1,1,1,1,1,0,7,2,3,0,39943556,37520600,39813508,31307983,31995521,40532886,31307983,48565039,25279066,31995521,26243614,50879700,30601794,21269208,0,4,3210,39943556,37520600,39813508,31307983,1,1,3,0,6120000,0.0708333333,0.2125,0,1400821405235,89164714,1.0319990046,3.0959970139,0.0686370171,0,0,0,1,1,1,0,1,3,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,1,3,-7800064286,,,,,6.25,-2540578286,,,,
4680,6a7da8f3a0bddcd022be6c3bc5467386,TEAM-0012f320-5a7a-11e5-bc58-c81f66dcfb5a,1394243882,31995521,1400996813662,RANKED_SOLO_5x5,1,5,7,0,0,0,0,1,4,18,5,16545,2227,4301,10016,33787,0,22968,10818,137,11062,0,8961,2100,7567,6970,42,0,0,0,0,0,0,0,0,25,BOTTOM,DUO_SUPPORT,0,0,0,0,0,0,2,0,0,0,31307983,47182423,31995521,35439872,32534885,40532886,31307983,48565039,25279066,31995521,26243614,50879700,30601794,21269208,0,2,4310,31307983,47182423,35439872,32534885,1,1,4,0,8160000,0.0944444444,0.2833333333,0,1400821405235,175408427,2.0301901273,6.0905703819,0.0465199999,1,0,0,0,2,1,0,1,4,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,1,4,-7713820573,,,,,1.6,-2454334573,,,,
7817,b30b4d9bcb38b277f74ca13cf8011085,TEAM-0012f320-5a7a-11e5-bc58-c81f66dcfb5a,1394359915,31995521,1400999363978,RANKED_SOLO_5x5,0,4,11,0,0,0,0,1,3,22,1,24491,674,16594,7223,26963,5829,11227,9907,3165,6827,0,6028,798,8216,8125,52,0,0,0,0,0,0,0,0,201,BOTTOM,DUO_SUPPORT,0,1,1,0,0,0,4,0,1,0,31307983,23058862,33410093,31995521,30561176,40532886,31307983,48565039,25279066,31995521,26243614,50879700,30601794,21269208,0,3,4210,31307983,23058862,33410093,30561176,1,1,5,0,10200000,0.1180555556,0.3541666667,0,1400821405235,177958743,2.0597076736,6.1791230208,0.0573166557,1,0,0,0,3,1,0,1,5,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,1,5,-7711270257,,,,,2.75,-2451784257,,,,
355,08c61e5729e8e909e6586ccc8270c081,TEAM-0012f320-5a7a-11e5-bc58-c81f66dcfb5a,1396665393,31995521,1401163562060,RANKED_SOLO_5x5,0,12,20,0,0,0,0,1,3,34,4,37917,1595,22375,13946,20963,4410,8364,8187,2608,7858,0,6145,1713,11098,11085,38,0,0,0,0,0,0,0,0,201,BOTTOM,DUO_SUPPORT,0,0,1,1,0,0,8,1,2,0,31307983,31995521,20270521,35713455,38742864,40532886,31307983,48565039,25279066,31995521,26243614,50879700,30601794,21269208,0,1,4320,31307983,20270521,35713455,38742864,1,1,6,0,12240000,0.1416666667,0.425,0,1400821405235,342156825,3.9601484375,11.8804453125,0.0357730698,1,0,0,0,4,1,0,1,6,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,1,6,-7547072175,,,,,1.6666666667,-2287586175,,,,
4482,65f244dd62790b7aa9032bf19167e9ad,TEAM-0012f320-5a7a-11e5-bc58-c81f66dcfb5a,1407576144,31995521,1401933237037,RANKED_TEAM_5x5,1,4,31,0,0,0,0,1,5,29,4,36358,2169,15989,18200,38915,4198,24177,10539,4742,11963,0,9750,2213,13605,13160,42,0,0,0,0,0,0,0,1,201,BOTTOM,DUO_SUPPORT,1,0,1,1,1,0,9,1,4,0,31995521,24649705,39514828,31307983,38142035,40532886,31307983,48565039,25279066,31995521,26243614,50879700,30601794,21269208,0,0,4321,24649705,39514828,31307983,38142035,1,1,7,0,14280000,0.1652777778,0.4958333333,0,1400821405235,1111831802,12.8684236343,38.6052709028,0.0128436693,0,0,1,0,4,1,1,1,7,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,1,7,-6777397198,,,,,8,-1517911198,,,,
8755,c9b9edc37905a9b3396444f50223669e,TEAM-0012f320-5a7a-11e5-bc58-c81f66dcfb5a,1407618562,31995521,1401936420482,RANKED_TEAM_5x5,1,4,14,0,0,0,0,1,3,21,2,12056,75,4553,7428,19658,0,11973,7685,68,7394,0,6325,1069,8979,7320,11,0,0,0,0,0,0,0,1,25,BOTTOM,DUO_SUPPORT,1,1,1,1,1,0,8,1,3,0,31995521,38142035,39514828,31307983,24649705,40532886,31307983,48565039,25279066,31995521,26243614,50879700,30601794,21269208,0,0,4321,38142035,39514828,31307983,24649705,1,1,8,0,16320000,0.1888888889,0.5666666667,0,1400821405235,1115015247,12.9052690625,38.7158071875,0.0146365712,0,0,1,0,4,1,2,1,8,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,1,8,-6774213753,,,,,3.75,-1514727753,,,,
8385,c0cbc6f5caf3b03d91b12f3e24205d66,TEAM-0012f320-5a7a-11e5-bc58-c81f66dcfb5a,1408880680,31995521,1402019458293,RANKED_SOLO_5x5,3,1,4,0,0,0,0,1,1,4,1,12914,300,1965,10649,76523,10632,27260,38630,1310,3041,176,1063,1802,6538,3790,6,0,0,0,0,0,0,0,0,106,JUNGLE,NONE,1,1,1,0,1,0,6,0,1,0,25659168,20650564,31995521,31307983,22379938,40532886,31307983,48565039,25279066,31995521,26243614,50879700,30601794,21269208,0,2,4310,25659168,20650564,31307983,22379938,1,1,9,0,18360000,0.2125,0.6375,0,1400821405235,1198053058,13.866354838,41.5990645139,0.0153248639,0,0,1,0,4,1,3,1,9,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,1,0,0,0,9,-6691175942,,,,,7,-1431689942,,,,
890,14c77b454d28e21b1127ea9d4188d2bb,TEAM-0012f320-5a7a-11e5-bc58-c81f66dcfb5a,1408987594,31995521,1402027752307,RANKED_TEAM_5x5,0,8,11,0,0,0,0,1,2,26,5,17115,503,5685,10925,28058,0,19940,8118,89,8328,0,7123,1204,8004,8490,39,0,0,0,0,0,0,0,0,25,BOTTOM,DUO_SUPPORT,0,1,0,0,0,0,2,0,0,0,31995521,39514828,24649705,38142035,31307983,40532886,31307983,48565039,25279066,31995521,26243614,50879700,30601794,21269208,0,0,4321,39514828,24649705,38142035,31307983,1,1,10,0,20400000,0.2361111111,0.7083333333,0,1400821405235,1206347072,13.9623503704,41.8870511111,0.0169105562,0,0,0,1,4,1,3,2,10,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,1,10,-6682881928,,,,,1.375,-1423395928,,,,
